category,table,rowKey,column,value,reason
"missing-user","AbpRoleClaims","862bc134-3ab7-402a-9946-d1edbd338672","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","8780708c-f1fc-4779-9f09-053cc5183f33","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","89284a5b-6056-428d-b3ad-1848bfb4246c","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","89f0f5d0-4b01-4f3d-a893-325aa21365e7","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","8baf5e2f-a6b4-4180-8bd9-62b397d5aa56","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","8e04d624-fd78-452a-a1f0-f5b2e3d2d645","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","8f6557bb-84b1-4c8d-af63-ddbffa649fdc","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","90d92a6b-41e2-4c97-805b-2a6404c39a4a","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","913fb27d-6895-4fd0-8c53-5b18ad43f7b6","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","918f5350-77d0-492f-b479-acba418878c7","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","93179efa-f156-4bba-9770-52791c6231cf","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","94646233-bc22-4f61-8db8-6c1895ca187a","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","966873de-527a-401c-8c36-c6b353809dc8","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","9675a59d-34c5-45d8-8705-5af0574d2623","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","968fd500-9a72-4a73-a931-1d906e1359f1","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","9781b5d9-c0ea-4cd4-afcc-c29b909446ad","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","9828e60e-5e3d-4bd2-8410-e5a4962b1667","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","99d9a78b-f2db-4e9c-be5a-55d639cf5df5","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","99e73786-ca81-4205-8838-7bf6cf58358b","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","99fa54ea-d9a6-4552-a170-49ceb232e0a9","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","9c529686-bc66-4d72-b6d6-564fc24557c0","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","9c8a9c90-5786-4776-9217-7b227cd601b5","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","9d21c83d-5bf4-4151-a0b1-deb11b6e9c20","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","9f89a621-3c71-46f5-83f0-25929869f3bb","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
